cpu_utilization,device_age_days,device_id,device_type,error_log_rate,failure_probability,firmware_version,historical_incidents,historical_outages,io_wait,maintenance_days_since,memory_pressure,network_latency,packet_loss_rate,power_cycle_count,reboot_count_7d,sla_breach_history,software_patch_age_days,temperature_anomaly_score,temperature_variance,timestamp,workload_intensity
0.99,1290,D8171,T010,4.7,0.48,4.0,10,6,0.85,184,0.37,14,0.015,21,1,1,20,0.46,0.32,9/28/25,0.82
0.87,1752,D6953,T003,39.6,0.55,3.0,17,0,0.56,211,0.5,270,0.075,20,9,1,52,0.12,0.34,2/25/24,0.13
0.68,2113,D8341,T002,11.1,0.58,4.0,8,0,0.82,164,0.24,216,0.128,2,12,8,38,0.85,0.23,3/31/24,0.32
0.77,2242,D1894,T001,36.3,0.72,5.1,3,6,0.66,352,0.75,187,0.143,20,15,10,265,0.22,0.19,1/12/24,0.73
0.97,2078,D7302,T006,36.5,0.61,5.2,5,9,0.39,260,0.1,63,0.083,19,4,2,299,0.74,0.3,3/4/25,0.8
0.84,594,D9260,T005,37.9,0.52,4.5,6,5,0.77,201,0.77,73,0.038,14,1,1,96,0.41,0.23,5/17/24,0.29
0.83,1588,D9067,T004,17.8,0.65,6.0,7,0,0.52,231,0.86,290,0.115,22,9,5,336,0.33,0.05,5/23/24,0.2
0.15,354,D7371,T009,17.9,0.56,5.0,6,8,0.62,353,0.34,62,0.148,21,14,0,74,0.79,0.37,8/31/24,0.81
0.22,572,D1869,T008,35.5,0.56,5.1,18,9,0.81,180,0.74,226,0.027,16,9,10,363,0.98,0.05,11/17/25,0.61
0.98,1954,D6657,T007,42.2,0.7,5.1,19,8,0.63,68,0.92,293,0.041,6,10,4,150,0.76,0.1,11/19/25,0.22
0.73,1304,D5178,T011,36.8,0.52,4.5,2,2,0.04,229,0.68,203,0.082,8,3,2,99,0.76,0.28,1/6/24,0.26
0.56,1687,D4695,T010,0.6,0.64,3.0,10,8,0.62,213,0.82,113,0.104,24,8,0,195,0.7,0.43,10/10/25,0.96
0.71,2312,D2349,T002,40.1,0.63,5.2,16,5,0.04,144,0.39,259,0.142,28,14,8,131,0.92,0.33,4/8/24,0.12
0.47,1459,D4994,T001,23.7,0.41,4.5,6,9,0.67,169,0.58,68,0.033,14,0,8,339,0.09,0.12,2/10/24,0.42
0.4,308,D9276,T012,27.5,0.4,5.1,9,7,0.53,320,0.74,172,0.023,30,2,9,305,0.15,0.09,6/12/24,0.65
0.17,1769,D1745,T004,0.8,0.31,4.5,12,6,0.01,198,0.26,283,0.011,23,3,5,132,0.25,0.31,12/18/25,0.51
0.25,2845,D1620,T003,26.9,0.59,3.5,13,1,0.75,322,0.96,46,0.001,4,13,3,107,0.54,0.01,3/30/24,0.8
0.87,569,D8982,T007,23.1,0.5,5.0,18,0,0.67,92,0.23,158,0.093,8,2,8,99,0.18,0.05,12/4/24,0.7
0.96,2367,D7760,T006,29.8,0.55,5.1,1,0,0.21,284,0.23,166,0.137,23,2,9,5,0.68,0.45,10/23/25,0.23
0.86,454,D9941,T005,41.1,0.55,5.0,14,6,0.16,144,0.42,252,0.043,7,0,6,310,0.5,0.07,10/29/24,0.79
0.28,2687,D3435,T010,10.6,0.56,3.0,18,6,0.26,15,0.76,292,0.109,28,1,9,259,0.63,0.5,1/9/25,0.83
0.32,2883,D3293,T009,38.7,0.59,5.1,14,7,0.11,169,0.3,292,0.065,20,15,5,68,0.74,0.3,7/5/25,0.89
0.42,1401,D1079,T008,34.7,0.46,3.5,19,10,0.57,248,0.7,299,0.043,25,4,4,99,0.23,0.16,11/16/24,0.51
0.85,2777,D8898,T001,12.6,0.62,4.0,20,1,0.41,193,0.85,274,0.082,26,7,8,192,0.26,0.43,9/10/25,0.43
0.76,1182,D9542,T012,19.4,0.56,4.5,6,8,0.04,189,0.95,33,0.114,20,14,5,32,0.04,0.16,10/10/25,0.31
0.45,2152,D3395,T011,33.1,0.64,4.0,11,8,0.14,261,0.9,273,0.129,5,5,0,237,0.59,0.09,1/23/26,0.18
0.3,2801,D9263,T004,29.5,0.45,4.0,10,7,0.39,261,0.47,203,0.087,3,7,9,319,0.14,0.01,12/1/25,0.34
0.32,701,D8891,T003,30.0,0.37,3.0,5,8,0.95,28,0.22,155,0.02,6,0,6,293,0.59,0.22,6/23/24,0.25
0.11,715,D7732,T002,11.5,0.41,5.0,19,1,0.48,95,0.89,68,0.034,15,10,10,108,0.44,0.24,1/23/24,0.24
0.57,536,D4337,T007,42.7,0.51,5.2,18,4,0.37,79,0.44,299,0.121,8,13,4,185,0.21,0.5,2/27/25,0.48
0.81,648,D9561,T006,29.9,0.54,3.5,7,1,0.19,130,0.44,141,0.111,22,13,4,217,0.59,0.37,4/30/24,0.53
0.48,2161,D4759,T005,41.4,0.39,3.0,4,9,0.42,60,0.23,277,0.071,27,13,8,272,0.1,0.02,5/8/25,0.18
0.82,121,D7564,T009,4.4,0.56,5.2,15,9,0.37,46,0.65,123,0.008,19,8,6,325,0.68,0.02,9/20/25,0.84
0.6,1356,D7562,T008,6.0,0.45,6.0,12,2,0.78,295,0.6,238,0.084,30,7,10,129,0.18,0.08,12/12/24,0.41
0.62,1305,D6565,T012,40.7,0.5,3.5,16,4,0.97,174,0.33,236,0.016,18,8,8,257,0.41,0.24,4/14/25,0.95
1.0,162,D8450,T011,36.3,0.64,4.5,2,8,0.96,360,0.8,187,0.059,8,11,4,265,0.35,0.11,2/17/25,0.16
0.69,2124,D3579,T010,1.7,0.48,4.0,16,4,0.67,224,0.36,96,0.009,11,7,3,327,0.96,0.12,3/29/24,0.11
0.28,421,D5501,T003,38.2,0.5,3.5,15,9,0.37,346,0.32,256,0.023,10,1,0,61,0.62,0.25,5/17/25,0.96
0.46,1385,D4387,T002,47.4,0.57,4.0,18,4,0.74,181,0.77,265,0.083,7,6,2,243,0.34,0.37,8/22/24,0.3
0.71,1667,D5706,T001,40.0,0.69,5.0,7,10,0.52,324,0.91,190,0.072,0,13,3,34,0.86,0.35,4/5/24,0.81
0.51,1065,D9470,T006,40.0,0.58,3.5,12,3,0.81,284,0.61,252,0.103,5,4,2,138,0.98,0.21,6/30/25,0.49
0.71,2346,D7563,T005,18.3,0.45,5.0,15,9,0.21,134,0.44,227,0.054,22,15,5,95,0.1,0.38,10/13/24,0.31
0.26,2253,D1137,T004,17.4,0.47,4.0,17,0,0.98,216,0.79,244,0.06,22,5,8,27,0.51,0.26,1/13/24,0.53
0.68,424,D9535,T009,14.6,0.58,5.2,10,5,0.27,82,0.94,212,0.092,14,8,10,36,0.42,0.39,4/6/25,0.41
0.12,2458,D3373,T008,16.3,0.55,4.5,5,4,0.89,332,0.21,238,0.144,12,15,5,295,0.87,0.31,6/20/24,0.68
0.75,505,D5222,T007,41.9,0.56,3.0,6,4,0.74,353,0.81,240,0.084,8,3,7,203,0.3,0.18,12/18/24,0.25
0.94,2547,D6992,T012,26.2,0.68,4.0,20,9,0.48,233,0.59,187,0.142,7,9,6,302,0.14,0.4,2/26/25,0.67
0.34,1113,D8654,T011,41.9,0.48,5.0,4,2,0.66,145,0.24,27,0.133,27,0,8,117,0.65,0.46,7/7/25,0.5
0.47,427,D2363,T010,46.8,0.44,5.0,3,1,0.05,107,0.27,290,0.109,24,15,1,358,0.02,0.2,4/16/24,0.25
0.49,1177,D2121,T002,40.4,0.48,5.2,7,8,0.65,40,0.32,155,0.097,17,8,9,112,0.71,0.4,7/5/24,0.48
0.33,1274,D7745,T001,0.5,0.41,4.0,15,7,0.6,240,0.37,159,0.122,25,13,4,176,0.0,0.0,7/28/25,0.58
0.54,2954,D7251,T004,38.8,0.45,5.1,4,0,0.47,16,0.41,288,0.12,6,2,4,237,0.31,0.45,1/13/24,0.4
0.22,1413,D3468,T003,48.6,0.34,6.0,17,0,0.13,9,0.2,147,0.068,14,9,2,96,0.46,0.36,1/16/24,0.24
0.62,745,D6189,T007,3.0,0.52,3.5,19,5,0.7,255,0.72,88,0.023,25,11,10,127,0.69,0.05,7/25/25,0.18
0.94,313,D1146,T006,21.7,0.54,4.5,3,3,0.79,341,0.57,95,0.096,18,0,10,184,0.25,0.06,2/13/24,0.3
0.21,237,D1691,T005,49.1,0.43,6.0,3,8,0.68,101,0.79,209,0.116,9,15,10,126,0.25,0.47,2/1/26,0.51
0.75,731,D2753,T010,5.5,0.5,6.0,13,10,0.84,313,0.69,32,0.058,4,2,5,282,0.54,0.09,5/12/25,0.35
0.39,2275,D4912,T009,22.7,0.56,4.0,8,8,0.88,79,0.52,104,0.09,19,12,5,35,0.87,0.43,11/24/24,0.5
0.81,2923,D9906,T008,24.3,0.65,4.5,4,4,0.29,193,0.78,296,0.066,22,14,0,10,0.81,0.25,12/22/24,0.42
0.69,2715,D8258,T001,44.1,0.62,5.2,14,10,0.55,295,0.61,102,0.084,16,5,6,54,0.95,0.17,12/26/24,0.42
0.82,338,D4164,T012,3.9,0.49,5.2,1,1,0.1,315,0.15,275,0.141,23,6,4,188,0.56,0.12,6/22/25,0.34
0.27,2655,D2310,T011,30.3,0.48,6.0,1,5,0.93,359,0.13,16,0.058,6,2,3,269,0.64,0.33,4/24/25,0.63
0.33,1429,D8115,T004,32.1,0.42,4.5,18,1,0.08,247,0.37,205,0.085,1,1,9,39,0.57,0.46,3/2/25,0.26
0.64,979,D5093,T003,27.8,0.5,5.0,8,8,0.04,161,0.57,58,0.045,11,4,8,113,0.99,0.08,8/26/24,0.12
0.91,1863,D1567,T002,18.8,0.71,5.2,18,8,0.96,165,0.6,194,0.127,14,8,3,324,1.0,0.48,10/18/24,0.65
0.28,393,D1396,T007,4.5,0.47,4.5,10,10,0.37,136,0.46,226,0.084,6,13,9,124,0.57,0.16,2/27/26,0.8
0.78,641,D8879,T006,20.0,0.47,5.2,18,0,0.5,172,0.62,214,0.065,24,2,8,75,0.09,0.35,7/26/25,0.17
0.94,2689,D7436,T005,27.0,0.64,3.0,16,0,0.5,195,0.21,177,0.112,7,4,5,324,0.77,0.08,4/1/25,0.15
0.36,1691,D6168,T010,14.6,0.45,3.0,11,1,0.98,338,0.81,128,0.008,16,12,0,34,0.62,0.49,5/11/25,0.34
0.41,2303,D3790,T009,24.2,0.43,5.1,16,4,0.38,108,0.82,19,0.071,28,4,8,107,0.31,0.33,3/2/24,0.28
0.37,697,D5713,T008,18.7,0.6,6.0,7,3,0.74,225,0.99,67,0.149,7,2,10,319,0.62,0.47,1/15/24,0.14
0.62,639,D3378,T001,40.0,0.5,6.0,18,8,0.69,105,0.48,168,0.091,28,4,10,277,0.31,0.26,11/2/25,0.69
0.83,1247,D7837,T012,4.4,0.68,3.0,12,10,0.96,115,0.66,276,0.134,19,12,2,284,0.88,0.44,9/3/24,0.24
0.88,188,D9212,T011,24.5,0.48,6.0,16,4,0.35,20,0.58,19,0.075,11,5,5,287,0.19,0.18,10/9/24,0.32
0.61,2918,D1245,T003,18.7,0.44,5.1,19,7,0.47,244,0.31,261,0.103,5,12,10,40,0.23,0.1,10/3/24,0.22
0.94,1400,D5372,T002,15.2,0.57,3.5,10,6,0.78,74,0.93,87,0.084,3,8,6,94,0.32,0.07,9/12/25,0.75
0.46,2611,D7440,T006,22.6,0.51,5.2,4,7,0.78,27,0.37,102,0.069,30,3,10,150,0.83,0.45,2/27/25,0.72
0.65,547,D5770,T005,26.9,0.5,3.0,1,3,0.39,231,0.77,295,0.079,24,1,8,266,0.59,0.32,3/26/25,0.51
0.96,825,D6126,T004,44.4,0.61,4.5,15,5,0.78,224,0.3,217,0.03,19,13,7,33,0.67,0.37,2/7/25,0.88
0.66,2121,D4401,T009,22.1,0.53,3.0,15,7,0.88,121,0.33,135,0.128,8,0,6,311,0.46,0.31,2/20/24,0.3
0.95,2801,D4323,T008,21.0,0.54,5.1,4,2,0.29,76,0.44,238,0.115,5,9,0,289,0.38,0.06,1/4/24,0.25
0.39,469,D9383,T007,4.6,0.48,4.5,20,2,0.09,128,0.12,195,0.134,22,14,1,232,0.45,0.19,9/18/25,0.39
0.61,2593,D4812,T012,46.4,0.59,5.0,18,9,0.73,162,0.98,276,0.013,15,15,5,218,0.53,0.25,12/26/25,0.33
0.77,1652,D1953,T011,23.5,0.53,5.1,17,1,0.33,34,0.42,150,0.115,13,3,4,188,0.04,0.26,4/21/24,0.78
0.27,2467,D3906,T010,20.8,0.37,3.0,2,0,0.67,308,0.15,92,0.022,19,5,1,341,0.35,0.33,4/11/25,0.37
0.91,1326,D7147,T003,0.9,0.66,3.0,10,8,0.07,289,0.52,191,0.139,4,10,8,266,0.81,0.14,10/3/25,0.75
0.56,2430,D8546,T002,41.7,0.52,5.1,5,3,0.8,315,0.39,252,0.103,20,15,5,202,0.01,0.07,7/3/25,0.96
0.36,2620,D6042,T001,40.3,0.43,3.5,10,5,0.64,212,0.27,15,0.07,22,6,8,106,0.12,0.14,11/3/24,0.47
0.44,2148,D4361,T005,38.8,0.39,3.0,15,8,0.82,78,0.13,60,0.014,30,4,4,247,0.2,0.26,1/11/26,0.27
0.58,2988,D3867,T004,24.9,0.5,3.5,8,6,0.45,161,0.25,200,0.028,30,7,1,157,0.61,0.15,4/24/24,0.74
0.16,2028,D9740,T008,21.3,0.36,4.0,12,0,0.62,345,0.65,238,0.067,9,5,1,14,0.34,0.17,3/21/24,0.15
0.36,745,D5011,T007,5.1,0.52,5.0,19,8,0.32,140,0.58,291,0.101,4,11,8,76,0.77,0.47,6/24/24,0.2
0.13,2914,D4285,T006,5.2,0.45,5.0,10,7,0.58,304,0.45,21,0.017,9,9,0,22,0.86,0.32,7/16/24,0.88
0.47,1495,D8972,T011,28.4,0.56,5.2,18,6,0.69,106,0.66,288,0.146,5,10,6,33,0.55,0.33,4/27/24,0.83
0.51,1256,D7566,T010,20.3,0.39,6.0,4,8,0.56,178,0.13,176,0.053,2,3,1,87,0.48,0.4,8/27/25,0.64
0.98,1966,D6412,T009,47.4,0.67,6.0,14,7,0.91,158,0.78,142,0.02,12,4,3,49,0.47,0.09,11/28/24,0.72
0.23,942,D7622,T001,15.2,0.49,6.0,9,9,0.99,348,0.23,186,0.058,18,13,10,100,0.53,0.0,5/10/24,0.89
0.63,1762,D1003,T012,24.7,0.61,4.0,19,6,0.22,35,0.52,56,0.123,4,1,5,157,0.56,0.44,2/14/26,0.64
0.9,1837,D9948,T004,9.3,0.7,6.0,12,5,0.85,282,0.73,265,0.093,7,0,3,260,0.93,0.36,8/13/25,0.84
0.23,1281,D7813,T003,0.8,0.46,5.2,0,1,0.97,343,0.6,233,0.054,4,15,10,78,0.84,0.04,4/11/25,0.21
0.87,2393,D3841,T002,21.6,0.65,3.0,9,0,0.71,183,0.16,172,0.145,12,12,3,360,0.9,0.19,5/1/25,0.2
0.67,211,D2827,T007,42.6,0.55,5.0,4,8,0.13,146,0.62,139,0.098,8,8,1,319,0.57,0.14,9/10/25,0.54
0.38,2199,D5267,T006,48.0,0.52,6.0,10,6,0.17,240,0.15,158,0.117,22,9,5,232,0.34,0.46,3/3/24,0.62
0.43,2072,D9834,T005,25.8,0.62,3.5,16,4,0.47,353,0.98,135,0.106,23,2,7,297,0.57,0.33,8/16/25,0.17
0.74,1938,D5375,T010,4.9,0.55,3.0,16,10,0.61,195,0.53,231,0.131,20,11,0,147,0.15,0.43,4/10/24,0.71
0.5,2730,D7222,T009,23.2,0.53,5.1,3,0,0.48,135,0.67,164,0.11,30,15,2,27,0.21,0.38,11/30/25,0.78
0.26,2970,D4898,T008,49.2,0.48,4.0,16,0,0.84,120,0.63,88,0.067,24,4,5,133,0.15,0.5,11/7/25,0.54
0.73,1848,D5336,T001,39.0,0.62,6.0,10,4,0.38,354,0.33,41,0.14,10,8,2,141,0.47,0.5,7/1/24,0.91
0.75,2789,D4027,T012,4.3,0.56,3.0,20,1,0.66,111,0.33,202,0.093,28,4,1,304,0.03,0.32,4/23/24,0.96
0.33,2511,D6759,T011,0.5,0.49,4.5,5,5,0.01,99,0.63,44,0.101,3,0,8,344,0.46,0.26,8/12/24,0.57
0.91,720,D2148,T003,25.8,0.66,5.2,12,9,0.44,358,0.23,254,0.14,27,15,0,136,0.64,0.36,7/7/25,0.4
0.5,2115,D8305,T002,32.2,0.63,4.0,13,3,0.1,55,0.54,142,0.092,2,14,9,330,0.93,0.04,1/20/24,0.23
0.45,251,D3319,T006,10.6,0.42,6.0,1,6,0.15,173,0.81,284,0.075,18,14,1,8,0.64,0.12,5/15/25,0.15
0.28,1697,D4907,T005,44.3,0.68,5.0,11,7,0.14,54,0.6,107,0.099,6,14,1,356,0.97,0.01,5/15/25,0.67
0.3,2292,D5750,T004,31.6,0.55,3.5,9,6,0.53,183,0.45,197,0.117,30,2,0,290,0.69,0.17,10/25/25,0.4
0.32,164,D4377,T009,35.3,0.41,5.2,0,2,0.69,249,0.62,223,0.119,25,9,1,80,0.13,0.39,5/26/24,0.17
0.4,2459,D3703,T008,8.7,0.56,3.5,6,0,0.27,279,0.85,71,0.06,24,2,9,350,0.74,0.21,3/25/25,0.22
0.69,805,D4320,T007,30.6,0.46,4.0,9,1,0.11,323,0.52,64,0.007,19,2,7,7,0.92,0.4,3/12/25,0.14
0.99,317,D6477,T011,24.9,0.52,4.5,4,10,0.05,99,0.56,32,0.094,11,5,7,141,0.46,0.14,9/23/25,0.2
0.68,837,D6929,T010,17.4,0.6,3.0,2,10,0.24,255,0.57,295,0.141,3,0,4,305,0.41,0.49,2/18/26,0.65
0.28,2006,D4546,T002,30.2,0.39,4.0,10,3,0.86,234,0.21,293,0.009,2,5,4,56,0.69,0.21,8/28/25,0.48
0.31,2029,D6875,T001,46.4,0.42,4.5,13,2,0.39,299,0.31,101,0.03,4,14,3,37,0.41,0.23,10/3/24,0.54
0.82,219,D2804,T012,29.6,0.51,4.0,2,3,0.2,248,0.78,224,0.111,21,10,7,80,0.04,0.45,11/29/24,0.56
0.52,2001,D9887,T005,44.7,0.6,5.1,20,1,0.03,360,0.22,281,0.028,13,10,6,320,0.7,0.38,8/12/25,0.67
0.45,440,D1399,T004,17.9,0.56,6.0,13,3,0.02,285,0.83,56,0.015,21,7,2,123,0.7,0.15,4/10/25,0.78
0.53,1440,D7974,T003,44.9,0.5,4.5,18,2,0.04,222,0.52,32,0.064,15,13,9,126,0.01,0.37,6/27/25,0.62
0.98,1412,D8703,T007,13.9,0.56,4.5,16,10,0.35,180,0.31,200,0.072,15,2,6,115,0.11,0.25,12/27/25,0.91
0.82,2863,D4354,T006,23.3,0.58,3.0,3,6,0.37,186,0.81,197,0.132,20,1,5,263,0.08,0.28,5/21/24,0.9
0.62,1345,D3725,T010,11.3,0.56,6.0,9,2,0.77,290,0.69,157,0.073,1,11,4,234,0.79,0.07,9/25/25,0.22
0.24,2317,D6503,T009,1.1,0.48,5.2,13,7,0.02,67,0.28,42,0.003,25,6,10,349,0.95,0.12,2/25/25,0.53
0.58,2939,D3424,T008,19.5,0.6,5.1,14,1,0.96,33,0.84,157,0.068,2,5,1,344,0.9,0.05,5/23/25,0.27
0.76,671,D9625,T001,30.9,0.57,6.0,9,0,0.36,347,0.93,238,0.017,10,7,6,20,0.34,0.03,8/15/24,0.6
0.44,2145,D3409,T012,48.5,0.53,3.0,10,2,0.47,74,0.59,161,0.045,9,10,0,207,0.16,0.48,8/1/25,0.95
0.93,1074,D6633,T011,22.0,0.55,4.0,10,9,0.21,59,0.74,104,0.146,22,11,2,82,0.29,0.02,5/31/24,0.14
0.36,1919,D8776,T003,36.4,0.6,3.5,9,2,0.84,212,0.42,81,0.131,19,13,6,110,0.98,0.04,6/21/25,0.82
0.8,2850,D7108,T002,15.9,0.55,6.0,12,3,0.4,44,0.79,194,0.013,22,1,7,346,0.2,0.43,1/13/24,0.98
0.35,1886,D3219,T006,25.6,0.52,6.0,15,1,0.16,132,0.99,142,0.112,1,0,5,289,0.07,0.07,12/31/24,0.67
0.37,1175,D2955,T005,32.7,0.47,3.0,20,7,0.18,153,0.6,223,0.004,29,9,1,78,0.46,0.34,2/22/26,0.96
0.99,1777,D5947,T004,23.1,0.68,3.5,13,2,0.19,327,0.16,112,0.113,12,4,8,3,0.96,0.14,8/22/25,0.92
0.74,637,D3108,T009,40.9,0.55,3.5,9,5,0.71,8,0.73,98,0.063,0,10,2,59,0.8,0.37,12/11/25,0.53
0.72,660,D9612,T008,46.0,0.48,4.0,15,6,0.22,265,0.72,62,0.087,16,5,5,6,0.1,0.11,6/28/25,0.35
0.25,1287,D5932,T007,38.3,0.46,5.1,2,8,0.6,149,0.35,58,0.137,5,5,3,24,0.42,0.27,10/4/24,0.58
0.7,919,D4962,T011,42.3,0.7,4.5,0,1,0.35,94,0.78,188,0.138,27,8,2,300,0.78,0.25,6/1/25,0.7
0.23,2929,D2085,T010,9.8,0.25,3.5,15,6,0.59,57,0.3,272,0.02,15,1,0,217,0.13,0.06,11/4/24,0.17
0.98,385,D3348,T002,49.9,0.62,5.2,11,2,0.4,243,0.5,63,0.044,16,15,0,96,0.55,0.33,2/8/25,0.95
0.98,2008,D6111,T001,27.9,0.56,5.1,15,5,0.33,56,0.48,52,0.061,3,1,4,63,0.51,0.19,12/4/25,0.57
0.61,1254,D3963,T012,46.2,0.56,4.5,17,0,0.7,87,0.19,197,0.002,5,15,1,98,0.58,0.22,12/29/24,0.91
0.44,2807,D1289,T005,33.1,0.57,3.5,14,3,0.26,266,0.71,268,0.093,10,15,4,39,0.15,0.4,2/21/26,0.79
0.53,1962,D1438,T004,31.4,0.46,5.0,15,7,0.1,55,0.64,25,0.073,1,4,3,75,0.4,0.42,7/2/24,0.21
0.46,1589,D7557,T003,11.6,0.49,4.0,19,6,0.28,101,0.63,265,0.139,22,13,1,33,0.1,0.38,12/30/24,0.4
0.71,740,D7003,T007,48.5,0.58,6.0,8,7,0.32,259,0.69,155,0.086,0,11,9,287,0.69,0.3,12/23/24,0.15
0.13,1912,D2792,T006,43.0,0.45,5.1,5,8,0.49,235,0.49,94,0.058,4,9,10,192,0.91,0.16,8/5/25,0.13
0.55,1885,D2506,T010,14.4,0.51,5.0,2,8,1.0,103,0.83,162,0.025,12,1,3,186,0.67,0.4,1/4/26,0.55
0.4,2208,D4373,T009,49.3,0.42,5.2,15,9,0.32,215,0.12,209,0.069,3,12,0,290,0.33,0.4,12/10/24,0.34
0.83,1853,D5995,T008,33.1,0.71,5.2,13,5,0.65,176,0.63,130,0.094,18,7,0,49,0.77,0.04,4/27/24,0.99
0.24,2696,D6087,T001,8.0,0.42,5.1,8,4,0.24,104,0.72,217,0.065,4,7,10,32,0.3,0.1,4/20/25,0.86
0.79,2144,D3420,T012,26.6,0.52,4.0,14,4,0.73,109,0.26,299,0.105,1,13,10,295,0.02,0.26,9/3/24,0.69
0.86,959,D8425,T011,40.2,0.56,6.0,20,4,0.31,177,0.19,286,0.01,13,13,8,218,0.34,0.2,11/18/25,0.82
0.85,690,D7943,T004,12.7,0.56,5.2,8,7,0.53,54,0.76,261,0.112,22,1,6,111,0.81,0.47,5/1/25,0.26
0.91,675,D6134,T003,33.2,0.58,3.5,16,1,0.88,120,0.47,264,0.099,7,8,8,203,0.36,0.3,12/3/24,0.2
0.54,1217,D5882,T002,8.8,0.45,4.5,8,10,0.78,69,0.99,258,0.136,1,1,8,81,0.42,0.43,3/6/24,0.13
0.21,1332,D1555,T006,43.0,0.57,5.2,7,4,0.63,46,0.88,234,0.058,28,5,3,130,0.86,0.41,10/7/24,0.94
0.71,1606,D6945,T005,39.9,0.74,5.1,19,0,0.25,157,0.97,132,0.141,12,1,10,243,0.88,0.15,12/2/25,0.12
0.28,194,D5262,T009,48.7,0.48,4.5,20,3,0.7,285,0.47,144,0.131,5,6,1,10,0.18,0.02,6/1/24,0.68
0.22,746,D6367,T008,34.3,0.42,3.5,20,2,0.48,127,0.46,241,0.047,23,10,9,56,0.63,0.07,10/15/24,0.56
0.88,1830,D8264,T007,17.6,0.72,5.2,8,8,0.7,51,0.84,242,0.071,24,10,1,170,0.94,0.03,10/18/25,0.84
0.29,2381,D7076,T012,49.8,0.43,3.5,7,7,0.25,30,0.45,12,0.09,19,1,5,48,0.42,0.19,5/15/24,0.15
0.71,1064,D7513,T011,34.2,0.57,5.0,7,5,0.01,316,0.48,53,0.022,4,14,9,134,0.41,0.44,12/4/25,0.51
0.18,2859,D5636,T010,14.4,0.44,5.2,6,3,0.13,253,0.43,205,0.018,27,15,4,232,0.95,0.1,1/14/26,0.21
0.74,1560,D3757,T003,42.3,0.69,3.0,14,7,0.35,363,0.49,73,0.139,6,4,1,226,1.0,0.43,2/6/26,0.6
0.35,1382,D5263,T002,27.8,0.6,5.0,10,7,0.19,223,0.89,37,0.114,1,14,2,264,0.61,0.11,6/16/24,0.9
0.97,2017,D6907,T001,13.0,0.6,6.0,16,6,0.98,67,0.6,32,0.039,15,10,2,173,0.58,0.44,3/16/25,0.18
0.88,2566,D5668,T006,48.3,0.68,3.5,8,2,0.02,195,0.82,55,0.12,6,12,3,280,0.28,0.08,10/24/25,0.18
0.24,1203,D3118,T005,31.1,0.57,6.0,10,0,0.95,304,0.17,176,0.099,23,14,10,321,0.83,0.45,8/4/24,0.69
0.56,2437,D2737,T004,33.8,0.55,3.0,2,3,0.28,92,0.35,23,0.088,21,10,7,269,0.89,0.06,11/27/24,0.47
0.65,2870,D3434,T008,31.5,0.48,5.1,4,7,0.47,114,0.49,158,0.006,2,2,8,237,0.43,0.45,5/10/24,0.68
0.78,2905,D7922,T007,10.0,0.48,5.2,3,5,0.48,308,0.69,208,0.074,18,14,8,158,0.12,0.3,1/12/25,0.22
0.58,2933,D2833,T011,30.9,0.43,6.0,19,7,0.8,207,0.11,212,0.026,2,11,4,235,0.12,0.06,1/17/24,0.88
0.81,2505,D2742,T010,17.1,0.56,5.0,14,9,0.19,232,0.86,118,0.062,23,5,4,160,0.05,0.49,3/20/25,0.78
0.72,413,D8583,T009,4.7,0.41,3.0,16,6,0.25,23,0.37,191,0.064,2,8,6,282,0.25,0.38,7/2/24,0.56
0.74,2755,D8688,T002,46.9,0.63,3.5,3,7,0.7,213,0.58,239,0.047,0,11,9,137,0.42,0.08,12/18/24,0.9
0.52,1467,D8993,T001,36.9,0.51,5.2,13,6,0.49,4,0.87,28,0.03,15,9,7,26,0.59,0.26,8/25/24,0.19
0.73,1090,D8295,T012,15.0,0.56,4.0,17,3,0.47,223,0.27,85,0.072,0,14,1,332,0.03,0.06,5/11/25,0.86
0.26,1061,D6533,T004,17.9,0.42,6.0,0,5,0.83,107,0.24,99,0.119,28,5,4,155,0.49,0.25,3/16/25,0.6
0.49,1301,D8911,T003,36.7,0.54,6.0,13,10,0.62,364,0.56,92,0.103,9,15,10,67,0.59,0.35,5/12/24,0.45
0.97,1274,D8025,T007,18.0,0.54,6.0,8,5,0.75,258,0.79,87,0.125,16,7,6,174,0.01,0.21,2/27/25,0.25
0.65,2680,D4307,T006,35.4,0.56,3.5,11,2,0.15,60,0.87,60,0.084,11,15,4,85,0.1,0.17,3/25/25,0.88
0.2,291,D2734,T005,33.5,0.33,5.1,4,8,0.8,285,0.3,234,0.073,30,1,9,181,0.56,0.42,9/17/25,0.34
0.66,1335,D3621,T010,26.0,0.45,5.2,10,6,0.09,43,0.66,119,0.052,17,9,2,101,0.44,0.16,1/24/24,0.13
0.15,1746,D4360,T009,0.4,0.53,5.0,9,5,0.61,348,0.67,280,0.099,4,8,5,214,0.71,0.35,7/11/25,0.73
0.93,1912,D3473,T008,16.9,0.75,5.1,16,1,0.43,74,0.91,94,0.077,12,12,1,15,0.95,0.38,8/11/25,0.79
0.23,2050,D9020,T001,20.1,0.38,5.2,11,10,0.58,109,0.48,145,0.014,20,12,8,66,0.41,0.21,1/19/26,0.5
0.41,1325,D8443,T012,35.7,0.57,4.5,18,10,0.33,145,0.31,63,0.087,18,7,2,179,0.75,0.1,4/10/24,0.7
